,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Time,Species 
0,09-Oct-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,Kelp Beds Beach (Kelpies),Surfing,M,Fatal,Y,10h45,
1,07-Oct-2020,2020.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Body Surfing,M,Survived,N,Afternoon,Blacktip shark
2,04-Oct-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,"Toms Surf break, Hamersley Pool, North Beach, Perth",Surfing,M,No Injury,N,10h45,Bronze whaler 1.5m
3,21-Sep-2020,2020.0,,USA,Hawaii,"Charley Young Beach, Maui",Swimming,F,Survived,N,11h00,Injures not caused by a shark
4,20-Sep-2020,2020.0,Unprovoked,USA,Florida,"Sombero Key Light, Monroe County",Snorkeling,M,Survived,N,10h30,Bull shark
5,17-Sep-2020,2020.0,Provoked,AUSTRALIA,Queensland,Fraser Island,Fishing,M,Survived,N,16h00,"""whitetip shark"""
6,16-Sep-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,Cabarita Beach,Foil-boarding,M,No Injury,N,Afternoon,White shark
7,16-Sep-2020,2020.0,,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,Survived,N,15h20,Shark involvement not confirmed
8,15-Sep-2020,2020.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Survived,N,10h45,
9,15-Sep-2020,2020.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Survived,N,08h15,
10,08-Sep-2020,2020.0,,USA,Florida,Canaveral National Seashore,Surf fishing,M,Survived,N,,4' tp 5' shark
11,07-Sep-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,"Greenmount Beach, Coolangatta",Surfing,M,Fatal,Y,17h00,"White shark, 3m"
12,06-Sep-2020,2020.0,Unprovoked,USA,Hawaii,Puako,Snorkeling,F,Survived,N,16h30,8' shark
13,02-Sep-2020,2020.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",,M,Survived,N,,"Nurse shark, juvenile"
14,30-Aug-2020,2020.0,Watercraft,AUSTRALIA,New South Wales,Forster,Fishing / Filming sharks feeding on whale carcass,F,Survived,N,Afternoon,White shark
15,30-Aug-2020,2020.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,Survived,N,11h30,
16,28-Aug-2020,2020.0,Unprovoked,USA,California,"Shelter Cove, Humboldt County",Kayak fishing,M,No Injury,N,Afternoon,White shark
17,23-Aug-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,Survived,N,15h00,
18,22-Aug-2020,2020.0,Unprovoked,USA,Florida,"St. Augustine Beach, Anastasia Island, St. Johns County",Surfing,M,Survived,N,Morning,4' to 5' shark
